id,code,description,lang,comment
2088,SEG9_CEE_46025799_2022_845104_TUT0,Tutoria,es_ES,###DAW
1966,CEE_46025799_2022_845104_0373,Lenguajes de Marca,es_ES
1973,SEG9_CEE_46025799_2022_845104_0484,Bases de Datos,es_ES
1976,SEG9_CEE_46025799_2022_845104_0483,Sistemas Informáticos + Ingles Técnico I,en_GB
1991,SEG9_CEE_46025799_2022_845104_0612,Desarrollo Web en Entorno Cliente,es_ES
1992,SEG9_CEE_46025799_2022_845104_0613,Desarrollo Web en Entorno Servidor,es_ES
1993,SEG9_CEE_46025799_2022_845104_0614,Despliegue de Aplicaciones Web + Inglés Técnico II,en_GB
1996,SEG9_CEE_46025799_2022_845104_0615,Diseño de Interfaces Web,es_ES
1999,SEG9_CEE_46025799_2022_845104_0618,Empresa e Iniciativa Emprendedora,ca_ES
2094,SEG9_CEE_46025799_2022_836104_TUT0,Tutoria,es_ES,###DAM
1909,CEE_46025799_2022_836104_0486,Acceso a Datos + Inglés Técnico II,en_GB
1990,CEE_46025799_2022_836104_0488,Desarrollo de Interfaces,es_ES
1998,CEE_46025799_2022_836104_0492,Empresa e Iniciativa Emprendedora,ca_ES
2062,CEE_46025799_2022_836104_0490,Programación de Servicios y Procesos,es_ES
2063,CEE_46025799_2022_836104_0489,Programación Multimedia Dispositivos Móviles,es_ES
2081,CEE_46025799_2022_836104_0491,Sistemas de Gestión Empresarial,es_ES
2509,SEG9_CEE_46025799_2022_836104_0487,Entornos de desarrollo,es_ES
2084,SEG9_CEE_46025799_2022_441104_TUT0,Tutoria,es_ES,###AFI
2633,SEG9_CEE_46025799_2022_906104_TUT0,Tutoria,es_ES,###ADI
2083,SEG9_CEE_46025799_2022_714104_TUT0,Tutoria,es_ES,###GAT
2087,SEG9_CEE_46025799_2022_828104_TUT0,Tutoria,es_ES,###GIAT
2077,SEG9_CEE_46025799_2022_828104_0384,Recursos turísticos,es_ES
2085,SEG9_CEE_46025799_2022_449104_TUT0,Tutoria,es_ES,###CI
2096,SEG9_CEE_46025799_2022_898104_TUT0,Tutoria,es_ES,###TIL
2089,SEG9_CEE_46025799_2022_899104_TUT0,Tutoria,es_ES,###GVEC
2913,CEE_46025799_2023_827104_TUT0,Tutoria,es_ES,###AVGE
932,CEE_46025799_2023_829104_TUT0,Tutoria,es_ES,###ASIR
1907,SEG9_CEE_46025799_2022_836104_0493,Formación y Orientación Laboral,es_ES
1914,SEG9_CEE_46025799_2022_836104_0483,Sistemas Informáticos + Ingles Técnico I,es_ES
1916,SEG9_CEE_46025799_2022_836104_0373,Lenguajes de Marca,es_ES
1918,SEG9_CEE_46025799_2022_829104_0373,Lenguajes de Marca,es_ES
1919,SEG9_CEE_46025799_2022_836104_0484,Bases de Datos,es_ES
1921,SEG9_CEE_46025799_2022_836104_0485,Programación,es_ES
1922,SEG9_CEE_46025799_2022_845104_0485,Programación,es_ES

